,Package,Item,Title,Rows,Cols,csv,doc
0,datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/AirPassengers.html
1,datasets,BJsales,Sales Data with Leading Indicator,150,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BJsales.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BJsales.html
2,datasets,BOD,Biochemical Oxygen Demand,6,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BOD.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BOD.html
3,datasets,CO2,Carbon Dioxide Uptake in Grass Plants,237,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/CO2.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/CO2.html
4,datasets,Formaldehyde,Determination of Formaldehyde,6,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Formaldehyde.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Formaldehyde.html
5,datasets,HairEyeColor,Hair and Eye Color of Statistics Students,4,4.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/HairEyeColor.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/HairEyeColor.html
6,datasets,InsectSprays,Effectiveness of Insect Sprays,72,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/InsectSprays.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/InsectSprays.html
7,datasets,JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,84,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/JohnsonJohnson.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/JohnsonJohnson.html
8,datasets,LakeHuron,Level of Lake Huron 1875-1972,98,2.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LakeHuron.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LakeHuron.html
9,datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,50,5.0,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LifeCycleSavings.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LifeCycleSavings.html
